drug_code,약품명,보강값,출처
,리포직이디오점안겔/생산중단,일반,규칙:비통제→일반
MXDXEYE,맥시덱스점안액 5ml,일반,규칙:비통제→일반
,뮤코나액4ml,일반,규칙:비통제→일반
VIGELC105,바이겔크림,일반,규칙:비통제→일반
VGG,버간점안겔5g,일반,규칙:비통제→일반
VGMOXEDR,비가목스점안액0.5% 5ml,일반,규칙:비통제→일반
CTRPER,세트락살플러스점이액_,일반,규칙:비통제→일반
,스타그민패취10mg,일반,규칙:비통제→일반
,씨프로신에이치씨점이현탁액7ml,일반,규칙:비통제→일반
ANR62.5,아노로62.5엘립타750mg,일반,규칙:비통제→일반
ACRSC20,아크라손크림,일반,규칙:비통제→일반
ALPTD-EV,알레파타딘점안액5ml,일반,규칙:비통제→일반
APGPEYD,알파간피점안액0.15% 5ml,일반,규칙:비통제→일반
,알파간피점안액0.15% 5ml/브리딘티 변경,일반,규칙:비통제→일반
,에스로반연고10g,일반,규칙:비통제→일반
EXLPC10,엑셀론패취10/18mg,일반,규칙:비통제→일반
EXLPC5,엑셀론패취5/9mg,일반,규칙:비통제→일반
EMLA5CREM,엠라5%크림5g,일반,규칙:비통제→일반
OKLEY,오클점안액5ml,일반,규칙:비통제→일반
,옴나리스나잘스프레이120회,일반,규칙:비통제→일반
,이소켓스프레이15ml/24.05.11삭제예정,일반,규칙:비통제→일반
CRAVTSOL,크라비트점안액1.5% 5ml,일반,규칙:비통제→일반
,클로르헥시딘액0.12% 100ml,일반,규칙:비통제→일반
,포스터100/6에이치에프에이120회,일반,규칙:비통제→일반
,풀미칸분무용현탁액,일반,규칙:비통제→일반
FUCRENLLQR,풀케어네일라카3.3ml,일반,규칙:비통제→일반
,프레드포르테점안액 5ml,일반,규칙:비통제→일반
,호쿠날린패취1mg/70s,일반,규칙:비통제→일반
FMLED5,후메론점안액5ml,일반,규칙:비통제→일반
HYALMAX0.5,히아루론맥스점안액0.15%,일반,규칙:비통제→일반
HYALREY,히아루론점안액5ml,일반,규칙:비통제→일반
NBT150,나보타주150unit,일반,규칙:비통제→일반
NBT50,나보타주50unit,일반,규칙:비통제→일반
,노보래피드주100단위,일반,규칙:비통제→일반
7NVRPD,노보래피드플렉스펜주,일반,규칙:비통제→일반
