drug_code,code_status,약품명,opening_qty,in_qty,used_qty,disposal_qty,return_qty,current_qty
RISELTON,CODE,리셀톤캡슐3mg,357,0,0,0,0,357
,NOCODE,리셀톤캡슐4.5mg,0,0,0,0,0,0
SRSP0.5,CODE,리스펜정0.5mg,0,0,0,0,0,0
PRRC75,CODE,리카스타캡슐75mg,0,0,0,0,0,0
,NOCODE,리큅정0.25mg,0,0,0,0,0,0
,NOCODE,리큅정1mg,0,0,0,0,0,0
,NOCODE,리큅피디정2mg,0,0,0,0,0,0
RTMNSR2,CODE,리트모놈SR서방캡슐225mg,0,0,0,0,0,0
SRFPC15,CODE,리팜핀캅셀150mg,0,0,0,0,0,0
RIFDC150,CODE,리포덱스캅셀150mg,500,0,0,0,0,500
,NOCODE,리피논정80mg,0,0,0,0,0,0
,NOCODE,리피엔정10mg,0,0,0,0,0,0
,NOCODE,리피엔정20mg,0,0,0,0,0,0
,NOCODE,리피토정80mg,0,0,0,0,0,0
LXANAT3,CODE,릭시아나정30mg,97,0,0,0,0,97
SRLXIA12,CODE,릴렉시아정125mg,0,0,0,0,0,0
MGNS,CODE,마그네스정,729,0,0,0,0,729
MGM,CODE,마그밀정,8546,0,0,0,0,8546
MAGO5,CODE,마그오캡슐500mg,255,0,0,0,0,255
,NOCODE,마도파에취비에스캅셀,0,0,0,0,0,0
,NOCODE,마이암브톨제피정,0,0,0,0,0,0
MYPC,CODE,마이폴캡슐10mg,292,0,0,0,0,292
MPRT,CODE,마프론정,0,0,0,0,0,0
MXBFER,CODE,맥시부펜이알정300mg,3568,0,0,0,0,3568
MAXICLAN625,CODE,맥시크란정625mg,0,0,0,0,0,0
MPR,CODE,맥페란정,200,0,0,0,0,200
,NOCODE,멀타핀정15mg,0,0,0,0,0,0
,NOCODE,멀타핀정7.5mg,0,0,0,0,0,0
MULTAQ,CODE,멀택정400mg,62,0,0,0,0,62
MGTR,CODE,메가트리연질캡슐,173,0,0,0,0,173
SMGFMERT,CODE,메가폴민서방정500mg,0,0,0,0,0,0
,NOCODE,메게롤현탁액10ml,0,0,0,0,0,0
MEGESIA,CODE,메게시아현탁액,0,0,0,0,0,0
,NOCODE,메게이스에프현탁액5ml,0,0,0,0,0,0
MGTS,CODE,메게이트현탁액10mL,70,0,0,0,0,70
,NOCODE,메게프로현탁액,0,0,0,0,0,0
,NOCODE,메네스에스정/23.6.19입고,0,0,0,0,0,0
SMNCT4,CODE,메녹틸정40mg,88,0,0,0,0,88
MDLC,CODE,메디락디에스장용캅셀,0,0,0,0,0,0
SMDAVL,CODE,메디아벤엘정,200,0,0,0,0,200
MEDC625,CODE,메디크라정625mg,265.5,0,0,0,0,265.5
MMMSC,CODE,메모엠연질캡슐,938,0,0,0,0,938
MSTN6,CODE,메스티논정60mg,0,0,0,0,0,0
,NOCODE,메치론정4mg,0,0,0,0,0,0
