drug_code,code_status,약품명,구분,성분명KR,성분명EN,복합단일,효능,제조판매사,총수량,제형,포장,첨가제,전문일반,마약구분,ATC번호,대분류,중분류,소분류,급여구분,보험코드,보험약가,통당단가,구입단가,전월재고,유효기한,보관방법,보관위치,입고일자,상태,비고
NSFMTD2,CODE,넬슨파모티딘정20mg,경구제,파모티딘,Famotidine,단일제,,한국넬슨제약(주),500,정제,병,"유당수화물,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,오파드라이흰색(03F680016),히드록시프로필셀룰로오스",전문의약품,일반,A02BA03,소화관 및 대사,위산 관련 질환 치료제,소화성 궤양·역류질환 치료제,급여,,201,0,0,0,,,,,중지,
NORMX,CODE,노르믹스정,경구제,리팍시민,Rifaximin,단일제,,(주)삼오제약,36,정제,PTP,"탈크류,미결정셀룰로오스,글리세롤디스테아레이트,오파드라이분홍색(OY-S-34907),전분글리콜산나트륨,실리카무수콜로이드",전문의약품,일반,A07AA11,소화관 및 대사,지사제·장내 항염/항감염제,장내 항감염제,급여,659700020,10,19548,543,36,2028-05-07,실온,,,사용,
NVT5160,CODE,노발탄정5/160mg,경구제,발사르탄/암로디핀베실산염,Valsartan/Amlodipine Besylate,복합제,,(주)경보제약,30,정제,병,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,크로스포비돈,콜로이드성이산화규소,스테아르산마그네슘,탭쉴드 노란색11Y013",전문의약품,일반,C09DB01,심혈관계,레닌-안지오텐신계 작용제,안지오텐신 II 차단제(복합),급여,665001760,404,29640,988,278,2028-06-08,실온,,,사용,
NVT580,CODE,노발탄정5/80mg,경구제,발사르탄/암로디핀베실산염,Valsartan/Amlodipine Besylate,복합제,,(주)경보제약,30,정제,병,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,크로스포비돈,콜로이드성이산화규소,스테아르산마그네슘,탭쉴드 노란색11Y013",전문의약품,일반,C09DB01,심혈관계,레닌-안지오텐신계 작용제,안지오텐신 II 차단제(복합),급여,665001770,272,24150,805,484,2028-06-08,실온,,,사용,
NOBSET20,CODE,노브세틴캡슐,경구제,플루옥세틴염산염,Fluoxetine Hydrochloride,단일제,,에이치엘비제약(주),300,캡슐,병,"시트르산수화물,캡슐(기제),스테아르산마그네슘,옥수수전분,전분글리콜산나트륨,D-만니톨",전문의약품,일반,N06AB03,신경계,정신활성제,항우울제,급여,647300020,36,134700,449,904,2027-08-11,실온,,,사용,
NOIRM,CODE,노이로민정300mg,경구제,세인트존스워트80%메탄올건조엑스,St. John's Wort 80% Methanol Dried Extract,단일제,,(주)유유제약,60,정제,PTP,바닐린/산화티탄/스테아르산마그네슘,일반의약품,일반,N06AX25,신경계,정신활성제,항우울제,급여,644500120,118,9540,159,60,2027-05-04,실온,,,사용,
NTPMN,CODE,노통펜프러스미니정->비엘셋세미 변경,경구제,확인필요,확인필요,단일제,,확인필요,30,정제,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,362,0,0,0,,,,,중지,
NOPC,CODE,노피드캡슐,경구제,페노피브레이트 과립(미분화),Fenofibrate Granules Micronized,단일제,,명문제약(주),30,캡슐,병,캡슐,전문의약품,일반,C10AB05,심혈관계,지질조절제,지질저하제(단일),급여,649800140,644,10680,356,281,2028-08-13,실온,,,사용,
NCMT200,CODE,누코미트캡슐200mg,경구제,아세틸시스테인,Acetylcysteine,단일제,,(주)셀트리온제약,100,캡슐,병,"유당수화물,레몬미크론,아스코르브산,콜로이드성이산화규소,스테아르산마그네슘,히드록시프로필셀룰로오스,캡슐",일반의약품,일반,R05CB01,호흡기계,진해거담제,거담제,급여,693900030,454,8100,81,3689,2028-02-25,실온,,,사용,
SNRCT,CODE,뉴라세탐정,경구제,옥시라세탐,Oxiracetam,단일제,,삼진제약(주),100,정제,병,"포비돈,스테아르산마그네슘",전문의약품,일반,N06BX07,신경계,정신활성제,정신자극제·ADHD 치료제,급여,,909,0,0,0,,,,,중지,
NLS30,CODE,뉴란소캡슐30mg,경구제,란소프라졸과립,Lansoprazole Granules,단일제,,한국유니온제약(주),30,캡슐,병,캡슐,전문의약품,일반,A02BC03,소화관 및 대사,위산 관련 질환 치료제,소화성 궤양·역류질환 치료제,급여,,49,0,0,0,,,,,중지,
NRZP10,CODE,뉴로자핀정10mg,경구제,올란자핀,Olanzapine,단일제,,명인제약(주),30,정제,병,"규화미결정셀룰로오스,코포비돈,오파드라이흰색(03B28796),스테아르산마그네슘,말토오스수화물,카르복시메틸셀룰로오스칼슘,전분글리콜산나트륨",전문의약품,일반,N05AH03,신경계,정신신경용제,항정신병제,급여,,470,36720,1224,0,,실온,,,중지,
SNRZP5,CODE,뉴로자핀정5mg,경구제,올란자핀,Olanzapine,단일제,,명인제약(주),30,정제,병,"규화미결정셀룰로오스,코포비돈,오파드라이흰색(03B28796),스테아르산마그네슘,말토오스수화물,카르복시메틸셀룰로오스칼슘,전분글리콜산나트륨",전문의약품,일반,N05AH03,신경계,정신신경용제,항정신병제,급여,651903220,745,22500,750,60,2027-02-11,실온,,,사용,
NCYNT100,CODE,뉴신타서방정100mg ★,경구제,확인필요,확인필요,단일제,,확인필요,30,정제,PTP,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,240,35220,1174,0,,실온,,,중지,
NCYNT50,CODE,뉴신타서방정50mg,경구제,타펜타돌염산염,Tapentadol Hydrochloride,단일제,,(주)비씨월드제약,30,정제,PTP,"히프로멜로오스,오파드라이II흰색(33G28488),스테아르산마그네슘,규화미결정셀룰로오즈",전문의약품,마약,N02AX06,신경계,진통제,마약성 진통제(오피오이드),급여,653103840,103,22710,757,30,2027-07-31,실온,,,사용,
