snapshot_month,drug_code,code_status,약품명,opening_qty,opening_amt,in_qty,in_amt,used_qty,used_amt,disposal_qty,return_qty,closing_qty,closing_amt
2026-01,,NOCODE,디프렌캡슐20mg(로틴캡슐 변경예정),,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,딜라트렌에스알캡슐16mg,,,0,0,0,0,0,0,0,0
2026-01,DILA-SR,CODE,딜라트렌에스알캡슐8mg,376,136112,0,0,31,11222,0,0,345,124890
2026-01,LAGEVRIOF,CODE,라게브리오캡슐,0,0,800,0,400,0,0,0,400,0
2026-01,,NOCODE,라노펜세미정(노통펜프러스미니정대체),,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,"라노펜정
(비엘셋정
대체)",,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,라미나지액/장비교체로3개월간생산중단-거드액변경,,,0,0,0,0,0,0,0,0
2026-01,LMS125,CODE,라미실정125mg,166,71214,0,0,0,0,0,0,166,71214
2026-01,SLMT10,CODE,라믹탈정100mg,164,105616,0,0,0,0,0,0,164,105616
2026-01,,NOCODE,라믹탈정25mg,,,0,0,0,0,0,0,0,0
2026-01,SRBPA10,CODE,라베피아정10mg,393,178422,252,114408,169,76726,0,0,476,216104
2026-01,RBPA20,CODE,라베피아정20mg,271,246339,0,0,62,56358,0,0,209,189981
2026-01,RBD,CODE,라본디캡슐,40,28200,0,0,0,0,0,0,40,28200
2026-01,LSX,CODE,라식스정40mg,1241.75,60845.75,0,0,256.5,12568.5,0,0,985.25,48277.25
2026-01,,NOCODE,라코정200mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,라피졸정10mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,라피졸정20mg,,,0,0,0,0,0,0,0,0
2026-01,LSTLFDT15,CODE,란스톤엘에프디티정15mg,354,166380,0,0,56,26320,0,0,298,140060
2026-01,LSRC30,CODE,란시라캡슐30mg,149,111005,56,41720,31,23095,0,0,174,129630
2026-01,,NOCODE,란프라캡슐30mg,,,0,0,0,0,0,0,0,0
2026-01,LEGAL,CODE,레가론캡슐140mg,1229,294960,0,0,300,72000,0,0,929,222960
2026-01,,NOCODE,레나메진캡슐,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,레날민정,,,0,0,0,0,0,0,0,0
2026-01,REBMR,CODE,레바미론정,7121,733463,4000,412000,2235,230205,0,0,8886,915258
2026-01,LVD60,CODE,레보딥정,870,117450,300,40500,264,35640,0,0,906,122310
2026-01,SLVCC750,CODE,레보카신정750mg,221,415038,0,0,0,0,0,0,221,415038
2026-01,SLVTSSR,CODE,레보투스시럽(파우치)10ml,266,43624,0,0,105,17220,0,0,161,26404
2026-01,LEVOTIL,CODE,레보틸정,,,0,0,0,0,0,0,0,0
2026-01,SLVFRC,CODE,레보푸라신정,990,546480,0,0,60,33120,200,0,730,402960
2026-01,LVP500,CODE,"레비에필정
500mg",100,65100,1200,781200,754,490854,0,0,546,355446
2026-01,LVEP1000,CODE,레비에필정1000mg,460,447120,120,116640,62,60264,0,0,518,503496
2026-01,,NOCODE,레오다제정/생산중단(9.4확인),,,0,0,0,0,0,0,0,0
2026-01,RPZ2,CODE,레피졸정2mg,422,108032,0,0,0,0,0,0,422,108032
2026-01,,NOCODE,렉사스타정5mg,,,0,0,0,0,0,0,0,0
2026-01,SREXPINT,CODE,렉시핀정,5400,615600,0,0,243.5,27759,0,0,5156.5,587841
2026-01,,NOCODE,렌벨라정,,,0,0,0,0,0,0,0,0
2026-01,LEMPID,CODE,렘피드캡슐,748,146608,1200,235200,1183,231868,0,0,765,149940
2026-01,,NOCODE,로나센정4mg,,,0,0,0,0,0,0,0,0
2026-01,LNFT,CODE,로나펜정,3000,318000,0,0,133,14098,0,0,2867,303902
2026-01,SLNT,CODE,로닌정,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,로멜라인장용정,,,0,0,0,0,0,0,0,0
2026-01,RSDO10,CODE,로수듀오정10/10mg,891,1114641,0,0,234,292734,0,0,657,821907
